name,sugar,volume
Mirinda Pomeranč,64.55,500
Fruc Multivitamín,56.5,500
Cappy Pulpy Orange,55.5,500
7up,55,500
Pepsi Cola,55,500
RC Cola,54,500
Burn Tropical,53,500
Coca-Cola,53,500
Kubík Play Multivitamín,47.2,400
Vinea bílá,46.6,500
Fanta Pomeranč,45,500
Kofola Original,40,500
Kubík Multivitamín,35.7,300
Sprite,34.5,500
Dr. Pepper,34,500
Cappy Multivitamín,33.5,500
"Kubík Mrkev, jablko, malina",33.3,300
Hello Simpsons Pomeranč,33,330
Hello Simpsons Jablko,33,330
Cappy Junior Mandarinka,31.68,330
"Cappy Junior Jablko, černý rybíz",31.68,330
Red Bull,27.5,250
"Bimboo Jablko, mrkev, citron",26.73,330
Dobrá voda Pomeranč,26,500
Top Topic,20,500
Jupík Jahoda,19.8,330
Jupík Multivitamín,19.8,330
Voda,0,500
